Accession,Title,Automated_Decision,Automated_Score,Automated_Reason,Final_Decision,Final_Reason,Decision_Source,Stage1_Pass,Scope_Category,Skin_Terms,Aging_Terms,Sample_Terms,Age_Contrast_Terms,Intervention_Terms,Incidental_Signals,Off_Topic_Signals,Central_Sentences,Submission_Date,GEO_Link
GSE203635,Transcriptomics provides novel insights into the regulatory mechanism of Panax notoginseng exosome-like nanoparticles in HSF,exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,skin_aging; aging_generic,,,,,,0,2025/05/16,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203635
GSE288730,Organism-wide cellular dynamics and epigenomic remodeling in mammalian aging,exclude,5,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic,skin_direct,,,,,0,2025/05/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288730
GSE297097,The ImmgenT Open-Source project,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,,0,2025/05/14,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE297097
GSE296209,Effects of hyperbaric oxygen on tissue-specific aging and senescence in mice and human stromal cells,exclude,11,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,exclude,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,two_stage_rule,True,cellular_senescence,skin,aging_generic; aged; young_vs_old; senescence,skin_direct,,,,,2,2025/05/09,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296209
GSE278288,Engineering Fibroblast with Reprogramming and Spheronization for Bone Defect Repair,exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,skeletal_repair,0,2025/05/07,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE278288
GSE278615,Engineering Fibroblast with Reprogramming and Spheronization for Bone Defect Repair,exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,skeletal_repair,0,2025/05/07,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE278615
GSE266467,AGED CD8+ T CELLS DRIVE COGNITIVE DECLINE VIA GZMK [parabiosis],exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic; aged; young_vs_old,,,,,,0,2025/05/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266467
GSE295189,"Fibulin-5, an integrin-binging matricellular protein, maintains epidermal stem cell heterogeneity during skin aging",include,18,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; keratinocyte; skin_stem_cell,skin_aging; chronological_aging; aging_generic,skin_direct; epidermal_sample,,,,,1,2025/05/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295189
GSE294791,ANTXR2 Deficiency Promotes Cellular Senescence and Chondroid Differentiation in Hyaline Fibromatosis Syndrome Fibroblasts,exclude,2,研究核心为特定疾病模型，未直接研究皮肤老化,exclude,研究核心为特定疾病模型，未直接研究皮肤老化,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,senescence,dermal_sample,,,,other_disease,0,2025/04/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294791
GSE276511,Big data-driven target identification by machine learning: DRD2 as a therapeutic target for psoriasis.,exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,other_disease,0,2025/04/28,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276511
GSE286316,Unveiling a Novel in-vitro Model of Skin Inflamm-Aging: Validation of Terminalia chebula Extract and Supermolecular Bakuchiol for Reversal of Inflamm-Aging,include,4,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,include,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,two_stage_rule,True,intrinsic_skin_aging,skin,aging_generic; senescence,,,,,,0,2025/04/16,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE286316
GSE251705,Convergent evolution of monocyte differentiation in adult skin instructs Langerhans cell identity,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin; epidermis; skin_appendage,,,,,,,0,2025/04/03,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE251705
GSE263864,BDNF secreted by mesenchymal stem cells improves the quality and development potential of aged oocytes by activating the ERK1/2 signaling pathway,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aged,,,,,reproductive,0,2025/04/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263864
GSE293575,HyDrop v2: Scalable atlas construction for training sequence-to-function models,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,,0,2025/04/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293575
GSE270902,Twist1-induced suppression of oncogene-induced senescence in non-small cell lung cancer requires the transactivation domain of Twist1,exclude,-4,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,cancer; lung,0,2025/03/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270902
GSE292398,An Improved Human 3D Skin Model for Aging Research,include,8,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,include,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; dermis; dermal_fibroblast; keratinocyte; skin_model,skin_aging; aged_skin; chronological_aging; aging_generic; aged; senescence,,,,,,3,2025/03/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292398
GSE269752,"Transcriptomic analysis of FLCNLiKO, a study performed on males and females at 12- and 90-weeks of age",exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin,,,,,,,0,2025/03/28,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269752
GSE268564,A subset of human dermal fibroblasts overexpressing Cockayne syndrome group B protein resist UVB radiation-mediated premature senescence,include,12,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,cellular_senescence,skin; epidermis; dermis; dermal_fibroblast,photoaging; aging_generic; senescence,dermal_sample,senescent_control,,,,0,2025/03/19,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268564
GSE288224,Transient Pharmacological Inhibition of SUMOylation during Pregnancy Induces Craniofacial Malformations in Offspring Mice,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,,0,2025/03/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288224
GSE290228,Epidermal loss of PRMT5 leads to the emergence of an atypical basal keratinocyte-like cell population and defective skin stratification,exclude,13,实验对象为胚胎皮肤发育，衰老程序仅为分子表型描述,exclude,实验对象为胚胎皮肤发育，衰老程序仅为分子表型描述,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; keratinocyte,senescence,skin_direct; skin_tissue,,,,embryonic_development,2,2025/03/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290228
GSE291330,Epidermal loss of PRMT5 leads to the emergence of an atypical basal keratinocyte-like cell population and defective skin stratification [multiome],exclude,13,实验对象为胚胎皮肤发育，衰老程序仅为分子表型描述,exclude,实验对象为胚胎皮肤发育，衰老程序仅为分子表型描述,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; keratinocyte,senescence,skin_direct; skin_tissue,,,,embryonic_development,2,2025/03/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE291330
GSE290668,"A novel butyrate derivative, zinc dibutyroyllysinate, blunts MITF expression and up-regulates retinol and differentiation pathway mRNAs in a full-thickness human skin model",exclude,2,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; melanocyte; skin_model,aging_generic,,,,,,0,2025/03/03,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290668
GSE290476,TFEB Orchestrates Stress Recovery and Paves the Way for Senescence Induction in Human Dermal Fibroblasts,include,11,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,senescence,dermal_sample,,,,,1,2025/03/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290476
GSE284483,The Therapeutic Potential of mRNA-Mediated Type III Collagen Delivery for Photoaged Skin,include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin,skin_aging; photoaging; chronological_aging; aging_generic,skin_direct,photoaging_model,aged_skin_treatment,,,1,2025/03/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284483
GSE289784,Safety and Efficacy of Atuzabrutinib Topical Gel in Patients with Mild-to-Moderate Atopic Dermatitis: Findings from Phase 2a Trial,exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,aged,,,,,,0,2025/03/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289784
GSE290450,Mapping the Molecular Signature of Progressive Multiple Sclerosis [194017],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,,0,2025/02/26,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290450
GSE290554,Mapping the Molecular Signature of Progressive Multiple Sclerosis,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,,0,2025/02/26,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290554
GSE262772,Limited Cell-Autonomous Anticancer Mechanisms in Long-Lived Bats,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; senescence; rejuvenation,,,anti_aging_intervention,,,0,2025/02/21,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE262772
GSE276308,Two mutations associated with leukemia that change a single tyrosine residue in the STAT5B SH2 domain have opposite effects on the transcriptional programs controlling hematopoiesis [ChIP-seq],exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin,,,,,,cancer,0,2025/02/12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276308
GSE276311,Two mutations associated with leukemia that change a single tyrosine residue in the STAT5B SH2 domain have opposite effects on the transcriptional programs controlling hematopoiesis [RNA-seq],exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin,,,,,,cancer,0,2025/02/12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276311
GSE276312,Two mutations associated with leukemia that change a single tyrosine residue in the STAT5B SH2 domain have opposite effects on the transcriptional programs controlling hematopoiesis [scRNA-seq],exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin,,,,,,cancer,0,2025/02/12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276312
GSE280465,Cross-Tissue Comparison of Epigenetic Aging Clocks in Humans,exclude,2,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,exclude,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,two_stage_rule,True,intrinsic_skin_aging,skin,chronological_aging; age_related; aging_generic; aged,,,,,,0,2025/02/07,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280465
GSE287292,Investigate the effect of cardiomyocyte-specific deletion of Trbp in transaortic constriction model in mice,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,,0,2025/01/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE287292
GSE280770,Investigate the effect of high-glucose treatment in mouse endothelial cell,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin,,,,,,,0,2025/01/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280770
GSE276851,Single-cell analysis of the epigenome and 3D chromatin architecture in the human retina [bulk_ATAC],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,,0,2025/01/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276851
GSE277326,Single-cell analysis of the epigenome and 3D chromatin architecture in the human retina [10x multiome],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,,0,2025/01/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277326
GSE277361,Single-cell analysis of the epigenome and 3D chromatin architecture in the human retina [snm3c-seq],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,,0,2025/01/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277361
GSE286963,C/EBPβ suppresses keratinocyte autonomous type 1 IFN response and p53 to increase cell survival and susceptibility to UVB-induced skin cancer,exclude,1,研究核心为肿瘤，缺少皮肤老化样本与年龄对照的共同证据,exclude,研究核心为肿瘤，缺少皮肤老化样本与年龄对照的共同证据,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; keratinocyte,senescence,,,,,cancer,0,2025/01/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE286963
GSE250322,Centromere inactivation during aging can be rescued in human cells,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; aged; rejuvenation,,,,,,0,2025/01/13,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250322
GSE164667,RNA sequencing of NHEK treated with polyIC and siRNaseL for 48 hours;,exclude,0,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,exclude,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,two_stage_rule,True,intrinsic_skin_aging,skin,rejuvenation,,,,,,0,2025/01/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164667
GSE22838,Identification of distinct molecular signatures in BRAF V600E and BRAF wt cutaneous melanomas,exclude,-1,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,exclude,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,two_stage_rule,True,intrinsic_skin_aging,cutaneous,senescence,,,,,cancer,0,2024/12/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22838
GSE23976,"Apoptosis, autophagy and senescence protect BRAFV600E nevi from malignant transformation",exclude,-1,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,exclude,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,two_stage_rule,True,cellular_senescence,skin,senescence,,,,,cancer,0,2024/12/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE23976
GSE267066,Comparative gene expression in healthy African American and White Non-Hispanic skin,include,10,摘要将皮肤老化作为组学实验的直接研究问题,exclude,仅比较不同族群的健康皮肤，年龄为供者描述而非研究变量，没有皮肤老化对照。,evidence_adjudication,True,intrinsic_skin_aging,skin; skin_model,aged,skin_biopsy; skin_punch_biopsy,,,,,1,2024/12/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267066
GSE283006,Fate Erasure Logic of Gene Networks Underlying Direct Neuronal Conversion of Somatic Cells by MicroRNAs II,exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,neurologic,0,2024/12/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283006
GSE223845,Single-cell transcriptomic profiling of dermal leukocytes,exclude,-1,标题和实验设计指向非皮肤器官，皮肤/衰老仅为附带描述,exclude,标题和实验设计指向非皮肤器官，皮肤/衰老仅为附带描述,two_stage_rule,True,intrinsic_skin_aging,skin; dermis,aged,,,,,blood,0,2024/12/25,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223845
GSE284467,Multi-omic Sequencing of Intermediate to High-Risk Cutaneous Squamous Cell Carcinoma Identifies Critical Genes and Expression Patterns Associated with Disease and Poor Outcomes,exclude,-1,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,exclude,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,two_stage_rule,True,intrinsic_skin_aging,skin; cutaneous,senescence,,,,,cancer,0,2024/12/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284467
GSE271149,Topical ABT-263 treatment reduces aged skin senescence and improves subsequent wound healing,include,21,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,aged_skin_repair,skin,aged_skin; aging_generic; aged; senescence; rejuvenation,skin_direct; skin_tissue,,anti_aging_intervention; aged_skin_treatment,,,2,2024/12/17,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271149
GSE273259,Sex and social status influence DNA methylation dynamics in a polygynous bat,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,chronological_aging; aging_generic,,,,,,0,2024/12/12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273259
GSE283543,The heterogeneity of demal mesenchymal cells reproduced in skin equivalents regulate barrier function and elasticity.,include,12,摘要将皮肤老化作为组学实验的直接研究问题,include,摘要将皮肤老化作为组学实验的直接研究问题,two_stage_rule,True,intrinsic_skin_aging,skin; dermis; skin_model,aging_generic,skin_direct; skin_model,,,,,1,2024/12/12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283543
GSE283764,Canagliflozin treatment prevents follicular exhaustion and attenuates hallmarks of ovarian aging in genetically heterogenous mice,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; senescence,,,,,reproductive,0,2024/12/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283764
GSE282425,SenPred: A single-cell RNA sequencing-based machine learning pipeline to classify deeply senescent dermal fibroblast cells for the detection of an in vivo senescent cell burden,include,18,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,skin; dermis; dermal_fibroblast,age_related; senescence,skin_direct; dermal_sample; skin_fibroblast,,,,,2,2024/12/05,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282425
GSE255546,Crosstalk in Skin: Loss of Desmoglein 1 in Keratinocytes Inhibits BRAFV600E-induced Cellular Senescence in Human Melanocytes,exclude,11,研究核心为肿瘤，缺少皮肤老化样本与年龄对照的共同证据,exclude,研究核心为肿瘤，缺少皮肤老化样本与年龄对照的共同证据,two_stage_rule,True,cellular_senescence,skin; epidermis; keratinocyte; melanocyte,senescence,keratinocyte_sample; melanocyte_sample,,,,cancer,0,2024/11/18,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE255546
GSE274955,An mRNA treatment for human skin rejuvenation,include,17,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,rejuvenation_intervention,skin; epidermis; dermis; dermal_fibroblast; keratinocyte; skin_appendage,skin_aging; photoaging; chronological_aging; aging_generic; aged; young_vs_old; senescence; rejuvenation,skin_tissue,young_vs_old,anti_aging_intervention; aged_skin_treatment,,,3,2024/11/18,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274955
GSE281449,Single-Cell RNA Sequencing Reveals Age-Related Changes in Epidermal Cell Populations and Interactions,include,17,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; keratinocyte,skin_aging; aged_skin; age_related; aging_generic; aged; young_vs_old,skin_tissue,young_vs_old; age_groups,,,,4,2024/11/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281449
GSE201710,Targeted partial reprogramming of age-associated cell states improves markers of health in mouse models of aging,exclude,4,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic,,,,,,0,2024/11/12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201710
GSE248658,Single-cell Transcriptional Atlas of Murine Collecting Lymphatic Vessels,exclude,6,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,dermis,aged; young_vs_old,,young_vs_old; age_time_course,,,,0,2024/11/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE248658
GSE247074,Exosomal miR-302b rejuvenates aging mice by reversing cell cycle arrest [scRNA-Seq],exclude,6,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,rejuvenation_intervention,,age_related; aging_generic; senescence; rejuvenation,,,anti_aging_intervention,,,0,2024/11/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247074
GSE247076,Exosomal miR-302b rejuvenates aging mice by reversing cell cycle arrest,exclude,4,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,rejuvenation_intervention,,aging_generic; rejuvenation,,,,,,0,2024/11/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247076
GSE254500,"Multiple cell trypes, incluiding melanocytes, contribute to elastogenesis in the developing murine aortic valve",exclude,5,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,melanocyte,,melanocyte_sample,,,,,0,2024/10/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254500
GSE193694,Chromatin dysfunction facilitates stem cells aging in atypical laminopathy-based progeria Mandibuloacral dysplasia type A (MAD),exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; senescence; premature_aging,,,,,systemic_premature_aging,0,2024/10/24,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193694
GSE269484,"Differential gene expression in immortalised fibroblasts derived two independent Nestor Guillermo Progeria Syndrome (NGPS) patients, compared to immortalised fibroblasts of an healthy individual",exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; rejuvenation; premature_aging,,,anti_aging_intervention,,systemic_premature_aging,0,2024/10/18,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269484
GSE226577,Stem Cell Activity-Coupled Suppression of Endogenous Retrovirus Governs Adult Tissue Regeneration [ATAC-seq],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin; skin_appendage,,,,,,,0,2024/10/17,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226577
GSE226579,Stem Cell Activity-Coupled Suppression of Endogenous Retrovirus Governs Adult Tissue Regeneration [RNA-seq],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin; skin_appendage,,,,,,,0,2024/10/17,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226579
GSE226580,Stem Cell Activity-Coupled Suppression of Endogenous Retrovirus Governs Adult Tissue Regeneration,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin; skin_appendage,,,,,,,0,2024/10/17,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226580
GSE276220,The mouse Balbiani body regulates primary oocyte quiescence via RNA storage,exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,reproductive,0,2024/10/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276220
GSE279220,YAP-TEAD complex inhibits photoaging via transcriptional regulation of homologous recombination repair in mouse (smal) - miRNA-seq,include,8,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin,photoaging,skin_direct,photoaging_model,,,,0,2024/10/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279220
