Accession,Title,Automated_Decision,Automated_Score,Automated_Reason,Final_Decision,Final_Reason,Decision_Source,Stage1_Pass,Scope_Category,Skin_Terms,Aging_Terms,Sample_Terms,Age_Contrast_Terms,Intervention_Terms,Incidental_Signals,Off_Topic_Signals,Central_Sentences,Submission_Date,GEO_Link
GSE146580,Genome wide expression analysis of senescent BJ fibroblasts in the presence or absence of various SMAD2/3 regulating molecules,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2025/05/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146580
GSE146584,"Examining changes in the chromosomal interaction network in replicative senescent, rapamycin treatment, and p65 inhibition",exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2025/05/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146584
GSE146585,"Functional genomics assays, including ChIP-seq, ATAC-seq, RNA-seq, GRO-seq, and in situ Hi-C, in the context of replicative senescence",exclude,5,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,replicative_aging,,,,0,2025/05/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146585
GSE278079,Transcriptional study of the home-use TriPollar radiofrequency device on mice skin,exclude,2,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,skin_aging; aging_generic,,,,,,0,2025/05/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE278079
GSE203635,Transcriptomics provides novel insights into the regulatory mechanism of Panax notoginseng exosome-like nanoparticles in HSF,exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,skin_aging; aging_generic,,,,,,0,2025/05/16,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203635
GSE295189,"Fibulin-5, an integrin-binging matricellular protein, maintains epidermal stem cell heterogeneity during skin aging",include,18,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; keratinocyte; skin_stem_cell,skin_aging; chronological_aging; aging_generic,skin_direct; epidermal_sample,,,,,1,2025/05/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295189
GSE294791,ANTXR2 Deficiency Promotes Cellular Senescence and Chondroid Differentiation in Hyaline Fibromatosis Syndrome Fibroblasts,exclude,2,研究核心为特定疾病模型，未直接研究皮肤老化,exclude,研究核心为特定疾病模型，未直接研究皮肤老化,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,senescence,dermal_sample,,,,other_disease,0,2025/04/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294791
GSE293575,HyDrop v2: Scalable atlas construction for training sequence-to-function models,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,,0,2025/04/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293575
GSE292398,An Improved Human 3D Skin Model for Aging Research,include,8,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,include,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,two_stage_rule,True,cellular_senescence,skin; epidermis; dermis; dermal_fibroblast; keratinocyte; skin_model,skin_aging; aged_skin; chronological_aging; aging_generic; aged; senescence,,,,,,3,2025/03/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292398
GSE268564,A subset of human dermal fibroblasts overexpressing Cockayne syndrome group B protein resist UVB radiation-mediated premature senescence,include,12,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin; epidermis; dermis; dermal_fibroblast,photoaging; aging_generic; senescence,dermal_sample,senescent_control,,,,0,2025/03/19,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268564
GSE290228,Epidermal loss of PRMT5 leads to the emergence of an atypical basal keratinocyte-like cell population and defective skin stratification,exclude,13,实验对象为胚胎皮肤发育，衰老程序仅为分子表型描述,exclude,实验对象为胚胎皮肤发育，衰老程序仅为分子表型描述,two_stage_rule,True,cellular_senescence,skin; epidermis; keratinocyte,senescence,skin_direct; skin_tissue,,,,embryonic_development,2,2025/03/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290228
GSE291330,Epidermal loss of PRMT5 leads to the emergence of an atypical basal keratinocyte-like cell population and defective skin stratification [multiome],exclude,13,实验对象为胚胎皮肤发育，衰老程序仅为分子表型描述,exclude,实验对象为胚胎皮肤发育，衰老程序仅为分子表型描述,two_stage_rule,True,cellular_senescence,skin; epidermis; keratinocyte,senescence,skin_direct; skin_tissue,,,,embryonic_development,2,2025/03/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE291330
GSE290668,"A novel butyrate derivative, zinc dibutyroyllysinate, blunts MITF expression and up-regulates retinol and differentiation pathway mRNAs in a full-thickness human skin model",exclude,5,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; melanocyte; skin_model,aging_generic,skin_direct,,,,,0,2025/03/03,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290668
GSE290476,TFEB Orchestrates Stress Recovery and Paves the Way for Senescence Induction in Human Dermal Fibroblasts,include,11,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,senescence,dermal_sample,,,,,1,2025/03/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290476
GSE284483,The Therapeutic Potential of mRNA-Mediated Type III Collagen Delivery for Photoaged Skin,include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin,skin_aging; photoaging; chronological_aging; aging_generic,skin_direct,photoaging_model,aged_skin_treatment,,,1,2025/03/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284483
GSE286963,C/EBPβ suppresses keratinocyte autonomous type 1 IFN response and p53 to increase cell survival and susceptibility to UVB-induced skin cancer,exclude,4,研究核心为肿瘤，缺少皮肤老化样本与年龄对照的共同证据,exclude,研究核心为肿瘤，缺少皮肤老化样本与年龄对照的共同证据,two_stage_rule,True,cellular_senescence,skin; epidermis; keratinocyte,senescence,keratinocyte_sample,,,,cancer,0,2025/01/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE286963
GSE22838,Identification of distinct molecular signatures in BRAF V600E and BRAF wt cutaneous melanomas,exclude,-1,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,exclude,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,two_stage_rule,True,cellular_senescence,cutaneous,senescence,,,,,cancer,0,2024/12/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22838
GSE283006,Fate Erasure Logic of Gene Networks Underlying Direct Neuronal Conversion of Somatic Cells by MicroRNAs II,exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,neurologic,0,2024/12/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283006
GSE284467,Multi-omic Sequencing of Intermediate to High-Risk Cutaneous Squamous Cell Carcinoma Identifies Critical Genes and Expression Patterns Associated with Disease and Poor Outcomes,exclude,-1,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,exclude,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,two_stage_rule,True,cellular_senescence,skin; cutaneous,senescence,,,,,cancer,0,2024/12/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284467
GSE271149,Topical ABT-263 treatment reduces aged skin senescence and improves subsequent wound healing,include,21,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,skin,aged_skin; aging_generic; aged; senescence; rejuvenation,skin_direct; skin_tissue,,anti_aging_intervention; aged_skin_treatment,,,2,2024/12/17,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271149
GSE283543,The heterogeneity of demal mesenchymal cells reproduced in skin equivalents regulate barrier function and elasticity.,include,12,摘要将皮肤老化作为组学实验的直接研究问题,include,摘要将皮肤老化作为组学实验的直接研究问题,two_stage_rule,True,intrinsic_skin_aging,skin; dermis; skin_model,aging_generic,skin_direct; skin_model,,,,,1,2024/12/12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283543
GSE283764,Canagliflozin treatment prevents follicular exhaustion and attenuates hallmarks of ovarian aging in genetically heterogenous mice,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,aging_generic; senescence,,,,,reproductive,0,2024/12/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283764
GSE282425,SenPred: A single-cell RNA sequencing-based machine learning pipeline to classify deeply senescent dermal fibroblast cells for the detection of an in vivo senescent cell burden,include,18,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,skin; dermis; dermal_fibroblast,age_related; senescence,skin_direct; dermal_sample; skin_fibroblast,,,,,2,2024/12/05,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282425
GSE255546,Crosstalk in Skin: Loss of Desmoglein 1 in Keratinocytes Inhibits BRAFV600E-induced Cellular Senescence in Human Melanocytes,exclude,11,研究核心为肿瘤，缺少皮肤老化样本与年龄对照的共同证据,exclude,研究核心为肿瘤，缺少皮肤老化样本与年龄对照的共同证据,two_stage_rule,True,cellular_senescence,skin; epidermis; keratinocyte; melanocyte,senescence,keratinocyte_sample; melanocyte_sample,,,,cancer,0,2024/11/18,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE255546
GSE274955,An mRNA treatment for human skin rejuvenation,include,17,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin; epidermis; dermis; dermal_fibroblast; keratinocyte; skin_appendage,skin_aging; photoaging; chronological_aging; aging_generic; aged; young_vs_old; senescence; rejuvenation,skin_tissue,young_vs_old,anti_aging_intervention; aged_skin_treatment,,,3,2024/11/18,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274955
GSE281449,Single-Cell RNA Sequencing Reveals Age-Related Changes in Epidermal Cell Populations and Interactions,include,17,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; keratinocyte,skin_aging; aged_skin; age_related; aging_generic; aged; young_vs_old,skin_tissue,young_vs_old; age_groups,,,,4,2024/11/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281449
GSE248658,Single-cell Transcriptional Atlas of Murine Collecting Lymphatic Vessels,exclude,6,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,dermis,aged; young_vs_old,,young_vs_old; age_time_course,,,,0,2024/11/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE248658
GSE193694,Chromatin dysfunction facilitates stem cells aging in atypical laminopathy-based progeria Mandibuloacral dysplasia type A (MAD),exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,aging_generic; senescence; premature_aging,,,,,systemic_premature_aging,0,2024/10/24,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193694
GSE276220,The mouse Balbiani body regulates primary oocyte quiescence via RNA storage,exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,reproductive,0,2024/10/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276220
GSE279220,YAP-TEAD complex inhibits photoaging via transcriptional regulation of homologous recombination repair in mouse (smal) - miRNA-seq,include,8,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin,photoaging,skin_direct,photoaging_model,,,,0,2024/10/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279220
GSE279221,YAP-TEAD complex inhibits photoaging via transcriptional regulation of homologous recombination repair in mouse (smal) - lncRNA-seq,include,8,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin,photoaging,skin_direct,photoaging_model,,,,0,2024/10/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279221
GSE275330,"Doxorubicin resistance involves modulation of interferon signaling, transcriptional bursting, and gene co-expression patterns of U-ISGF3-related genes",exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2024/10/09,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE275330
GSE244738,Highly concentrated trehalose prevents IL-4/IL-13-induced skin barrier impairment by suppressing IL-33 expression and increasing Nrf2 activation in epidermal keartinocytes,exclude,7,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,cellular_senescence,skin; cutaneous; epidermis; keratinocyte; skin_model,senescence,keratinocyte_sample,,,,,0,2024/09/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE244738
GSE255032,Single-cell and bulk transcriptional profiling of mouse ovaries reveals novel genes and pathways associated with DNA damage response in oocytes,exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,reproductive,0,2024/09/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE255032
GSE243204,RNA sequencing of HDFs(Human dermal fibroblasts) with or without Sal-B and UVB treatment,include,10,皮肤样本用于验证抗衰老或年轻化干预,include,皮肤样本用于验证抗衰老或年轻化干预,two_stage_rule,True,photoaging,skin; dermis; dermal_fibroblast,skin_aging; photoaging; aging_generic,hdf,,anti_aging_intervention; aged_skin_treatment,,,0,2024/09/14,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243204
GSE243929,Generation of Human Expandable Limb Bud Cells via Chemically Induced Dedifferentiation Strategy [scRNA-seq],exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,senescence,,,,,,0,2024/09/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243929
GSE241456,NR4a knock-down in HER2 CAR-T cells improves T cell longevity and promotes solid tumor eradication [RNA-Seq],exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,epidermis,,,,,,cancer,0,2024/08/28,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241456
GSE275491,Differences in cell subsets between sun-exposed and unexposed skin: preliminary single-cell sequencing and biological analysis from a single case,include,7,摘要将皮肤老化作为组学实验的直接研究问题,include,摘要将皮肤老化作为组学实验的直接研究问题,two_stage_rule,True,photoaging,skin,photoaging; chronological_aging; aging_generic,skin_punch_biopsy,,,,,1,2024/08/28,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE275491
GSE275846,Single cell transcriptomics of human epidermis shows decreased expression of several structural genes associated with skin barrier development in aged skin,include,21,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,aged_skin_repair,skin; epidermis; keratinocyte,aged_skin; aged; young_vs_old,skin_direct,young_vs_old; age_groups,,,,2,2024/08/28,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE275846
GSE245045,The human pathome shows sex specific aging patterns post-development,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,aging_generic; senescence,,,,,,0,2024/08/24,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE245045
GSE226204,Neurological Cockayne Syndrome Results from R-Loops Induced by Stalled RNA Polymerase II during Transcription Elongation,exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; premature_aging,,,,,systemic_premature_aging,0,2024/07/29,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226204
GSE266428,Nuclear lamin A/C phosphorylation by loss of Androgen Receptor is a global determinant of cancer-associated fibroblast activation,exclude,0,研究核心为肿瘤，缺少皮肤老化样本与年龄对照的共同证据,exclude,研究核心为肿瘤，缺少皮肤老化样本与年龄对照的共同证据,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,senescence,dermal_sample,,,,cancer,0,2024/07/29,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266428
GSE270016,Rejuvenation of aged oocyte through exposure to young follicular microenvironment,exclude,6,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,rejuvenation_intervention,,age_related; aging_generic; aged; young_vs_old; rejuvenation,,young_vs_old,,,reproductive,0,2024/07/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270016
GSE268348,The m6A writer KIAA1429 regulates photoaging progression via MFAP4-dependent collagen synthesis,exclude,14,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,photoaging,,photoaging,hdf,photoaging_model,aged_skin_treatment,,,5,2024/07/16,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268348
GSE266959,Epidermal Growth Factor Rejuvenates Aged Hematopoietic Stem Cells [EGFR Dominant Negative],exclude,3,标题和实验设计指向非皮肤器官，皮肤/衰老仅为附带描述,exclude,标题和实验设计指向非皮肤器官，皮肤/衰老仅为附带描述,two_stage_rule,True,rejuvenation_intervention,epidermis,aging_generic; aged; rejuvenation,,,,,blood,0,2024/07/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266959
GSE243999,Mouse models to investigate in situ cell fate decisions induced by TP53 and other factors (CUT&RUN),exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2024/06/28,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243999
GSE243836,Cell-specific crosstalk proteomics reveals cathepsin B signaling as a driver of glioblastoma malignancy near the subventricular zone,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2024/06/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243836
GSE253773,PRC2-AgeIndex: a universal biomarker of aging and rejuvenation [ChIP-seq],exclude,6,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,rejuvenation_intervention,,aging_generic; young_vs_old; rejuvenation,,,anti_aging_intervention,,,0,2024/06/19,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253773
GSE253985,PRC2-AgeIndex: a universal biomarker of aging and rejuvenation [WGBS],exclude,6,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,rejuvenation_intervention,,aging_generic; young_vs_old; rejuvenation,,,anti_aging_intervention,,,0,2024/06/19,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253985
GSE253987,PRC2-AgeIndex: a universal biomarker of aging and rejuvenation,exclude,4,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,rejuvenation_intervention,,aging_generic; rejuvenation,,,,,,0,2024/06/19,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253987
GSE263907,Aged skin exacerbates experimental osteoarthritis via enhanced IL-36R signaling,include,11,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; keratinocyte,skin_aging; aged_skin; aging_generic; aged,skin_tissue,,,,,1,2024/05/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263907
GSE190032,Characterisation of the epidermal diurnal transcriptome of mice with tissue-specific circadian clock activity [LD],exclude,2,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis,aging_generic,epidermal_sample,,,,neurologic,0,2024/05/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190032
GSE190034,Characterisation of the epidermal circadian transcriptome of mice with tissue-specific circadian clock activity [DD],exclude,2,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis,aging_generic,epidermal_sample,,,,neurologic,0,2024/05/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190034
GSE255474,Characterisation of the epidermal diurnal transcriptome of mice with K14-Cre-driven Bmal1 knockout,exclude,5,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis,aging_generic,epidermal_sample,,,,,0,2024/05/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE255474
GSE264103,Aged skin exacerbates experimental osteoarthritis via enhanced IL-36R signaling,include,11,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,intrinsic_skin_aging,skin; keratinocyte,skin_aging; aged_skin; aging_generic; aged,skin_direct,,,,,1,2024/05/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264103
GSE253194,Primary oocytes with cellular senescence features are involved in ovarian aging in mice,exclude,3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,aging_generic; aged; senescence; rejuvenation,,,anti_aging_intervention,,reproductive,0,2024/04/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253194
GSE264413,Transcriptome profiling of ovaries in aged mice administered with Samul-tang,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic; aged; young_vs_old,,,,,,0,2024/04/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264413
GSE264327,Nano-encapsulated senolytics cocktail ameliorates germ cell senescence in female mice,exclude,6,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,age_related; aged; senescence; rejuvenation,,,anti_aging_intervention,,,0,2024/04/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264327
GSE252293,Epidermal Growth Factor Rejuvenates Aged Hematopoietic Stem Cells,exclude,3,标题和实验设计指向非皮肤器官，皮肤/衰老仅为附带描述,exclude,标题和实验设计指向非皮肤器官，皮肤/衰老仅为附带描述,two_stage_rule,True,rejuvenation_intervention,epidermis,aging_generic; aged; rejuvenation,,,,,blood,0,2024/04/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE252293
GSE261101,Quietly hiding: PD-L1 checkpoint expression in melanocyte stem cell quiescence and aging,include,15,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,intrinsic_skin_aging,skin; dermis; melanocyte; skin_appendage,aging_generic; aged,skin_direct; melanocyte_sample,young_vs_old,,,,1,2024/04/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261101
GSE247179,Multi-omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation [Array],exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,rejuvenation_intervention,,aging_generic; aged; young_vs_old; rejuvenation,,,,,,0,2024/03/21,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247179
GSE237268,Transcription-Associated Chromatin Reorganization During Cellular Rejuvenation (Hi-C),exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,rejuvenation_intervention,,aging_generic; aged; young_vs_old; rejuvenation,,,,,,0,2024/03/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237268
GSE237269,Transcription-Associated Chromatin Reorganization During Cellular Rejuvenation (RNA-Seq),exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,rejuvenation_intervention,,aging_generic; aged; young_vs_old; rejuvenation,,,,,,0,2024/03/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237269
GSE156014,Dietary restriction delays but cannot heal irradiation-induced hair graying by preserving hair follicle stem cells in quiescence,include,7,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,aged_skin_repair,skin; skin_appendage,skin_appendage_aging_phenotype; aging_generic,skin_appendage_sample,,,,,0,2024/02/21,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156014
